GSM813064	GSM813065	GSM813066	GSM813067	GSM814496	GSM814497
0.3554	0.214	0.5741	0.2521	0.6558	0.1914
18.4256	18.0328	19.5179	17.3296	17.1112	13.6371
13.8742	14.9628	12.6917	13.9141	13.133	14.1858
0.238	0.5316	0.2	0.2594	0.1801	0.2701
1.4635	1.3799	0.9206	1.4321	1.1136	1.4029
-9999.0	-9999.0	-9999.0	-9999.0	-9999.0	-9999.0
0.1055	0.181	0.1379	0.3895	0.1196	0.2012
1.7229	1.8096	1.4565	1.6964	1.9097	1.5311
3.7131	3.1925	3.1102	3.2691	2.9793	3.0842
11.5967	9.2831	7.6061	6.2791	9.1908	7.0625
4.852	4.2137	5.0715	4.2098	4.3646	3.9565
0.7503	0.4364	0.5057	0.3497	0.8949	0.3318
17.649	17.7147	17.2345	14.2131	16.9818	14.1031
22.9654	20.4089	17.8304	16.468	23.2771	19.5483
6.8747	8.1903	6.1417	4.5161	5.9784	3.8755
16.7558	16.1488	16.3561	17.2497	18.2194	18.8893
1.565	1.2892	1.8969	1.6126	1.6628	2.0607
0.4825	0.2856	0.9922	0.0497	0.328	0.2259
18.9528	16.1115	15.9102	15.0937	16.1264	11.7644
32.9537	27.7486	21.4353	19.6548	20.167	19.0044
36.4473	27.705	21.5181	18.0681	22.9609	15.8058
4.0122	4.5491	4.245	2.7525	3.6967	2.7651
1.9715	1.8229	2.502	1.8606	2.0771	1.875
6.9059	6.3284	6.4046	5.8924	6.2029	6.1326
0.3417	0.7423	0.487	0.5469	0.2318	0.4342
129.8853	128.2563	117.9158	114.4011	116.7877	112.6219
9.3065	10.1455	9.5316	9.7442	8.0184	9.0806
0.3166	0.238	0.1357	0.3663	0.1367	0.5649
1.2825	1.6201	1.2548	1.1873	1.6548	1.0496
9.483	9.6286	10.0079	9.9084	8.3986	9.4818
0.2962	0.2596	0.6872	0.3305	0.1206	0.2554
0.2938	0.3652	0.1617	-0.018	-0.0865	0.2485
3.1267	2.7211	3.6064	3.0909	2.833	2.5196
11.1459	10.6448	11.224	10.7673	8.8479	10.5014
1.1338	0.8077	1.2084	1.2552	1.5382	0.952
0.2647	0.1485	0.3274	0.2059	0.3369	0.2615
51.6203	46.8612	49.4438	42.5996	46.7518	41.3951
1.7977	1.8244	2.0159	2.1723	1.9512	2.0224
69.8139	64.2629	92.3443	91.9921	69.1279	84.6228
1.138	1.4104	1.2512	1.3719	1.5474	1.2616
0.7859	0.7191	0.9903	0.8448	0.4285	1.3163
8.3154	8.8485	8.1548	9.0356	8.5517	9.663
1.755	1.8681	1.7003	1.4207	1.7159	1.2012
4.4889	4.9432	4.9838	5.7781	4.8117	5.1575
0.2006	0.4259	0.4444	0.6438	0.6478	0.2435
3.5496	2.8055	2.6226	2.4712	2.8793	2.9033
4.0315	3.5917	4.2347	3.734	4.1814	3.4651
